event_date,gazeteer_distance,latitude,longitude
06/18/2014 11:00:00 PM,7.3846,-34.1192,18.4545
05/22/2008 12:00:00 AM,20.17688,-34.103,-70.4516
05/31/2015 09:00:00 AM,9.230939999999999,-34.0947,18.3534
08/28/2013 11:00:00 PM,6.8519,-34.0746,18.3653
06/19/2017 01:15:00 PM,,-34.06995509,18.36915952
11/16/2013 02:00:00 AM,5.5029,-34.0496,18.3629
06/15/2011 06:00:00 PM,6.34082,-34.0298,18.3497
11/16/2013 01:00:00 AM,7.097919999999999,-33.9738,18.3715
11/16/2013 11:00:00 PM,6.92623,-33.9711,18.3716
11/16/2013 11:00:00 PM,5.6742099999999995,-33.9595,18.377
06/05/2016 12:00:00 AM,0.91655,-33.9096,151.2694
08/28/2013 11:00:00 PM,25.244429999999998,-33.9038,19.1565
07/22/2011 12:00:00 AM,1.0101799999999999,-33.859,151.2099
06/30/2013 05:50:00 PM,0.72387,-33.8234,151.0075
02/02/2012 09:10:00 AM,1.08149,-33.7344,151.1116
02/10/2012 12:00:00 AM,1.7033900000000002,-33.7341,150.314
02/26/2017 05:31:00 PM,,-33.718971999999994,-70.64924599999999
03/02/2012 07:45:00 PM,0.63621,-33.7117,150.3299
08/18/2014 12:00:00 AM,0.43893000000000004,-33.7106,151.3013
02/04/2010 04:30:00 PM,3.89811,-33.7099,150.3746
09/06/2009 02:30:00 PM,10.429039999999999,-33.3667,-70.5833
09/08/2009 12:00:00 AM,13.62589,-33.35,-70.5167
06/17/2012 12:00:00 AM,35.767070000000004,-33.2968,-70.2492
01/15/2012 12:00:00 AM,34.26608,-33.2961,-70.2686
06/21/2016 12:00:00 AM,1.82483,-33.2792,151.5678
07/06/2008 12:00:00 AM,0.43096,-33.15,18.66
03/12/2014 12:00:00 AM,2.9649799999999997,-33.0644,151.5824
08/06/2014 12:00:00 AM,5.6907,-32.9747,-71.5376
02/11/2011 10:00:00 PM,38.53587,-32.9563,-70.2129
12/17/2009 12:00:00 AM,1.57629,-32.8902,-68.844
02/13/2013 12:00:00 AM,64.02724,-32.8224,-69.9146
09/10/2008 11:00:00 PM,17.73757,-32.8091,149.8098
01/25/2016 12:00:00 AM,58.48282,-32.6532,-70.012
03/22/2010 11:00:00 PM,0.8468399999999999,-31.9554,115.8468
03/19/2017 03:09:00 PM,,-30.829127000000003,152.554007
09/16/2015 12:00:00 AM,11.90745,-30.5931,-70.9183
06/20/2008 12:00:00 AM,20.306639999999998,-30.4489,30.6551
06/18/2008 12:00:00 AM,8.95905,-30.3167,30.6667
09/06/2012 12:00:00 AM,19.23163,-30.05,30.8833
05/08/2016 12:00:00 AM,14.65115,-29.9584,30.9036
02/06/2009 09:00:00 AM,16.71965,-29.954,30.866
09/06/2012 11:00:00 PM,8.45138,-29.9135,30.9419
07/25/2016 12:00:00 AM,2.95397,-29.86,30.9642
03/04/2012 09:00:00 AM,4.61806,-29.8124,30.978
09/06/2012 11:00:00 PM,17.28931,-29.7826,30.8331
03/03/2013 12:00:00 AM,0.06554,-29.7736,151.1112
04/23/2011 08:00:00 AM,1.68668,-29.6634,-51.1339
04/23/2011 08:00:00 AM,3.17572,-29.5706,-50.7578
10/31/2016 02:24:00 PM,,-29.542639,30.280796999999996
12/04/2009 12:00:00 AM,43.60693,-29.5345,-53.3906
10/08/2010 08:00:00 PM,38.48948,-29.4985,152.3913
10/10/2010 12:00:00 AM,33.56105,-29.4884,152.446
11/11/2013 12:00:00 AM,11.3725,-29.4878,-51.3442
04/04/2017 01:16:00 PM,,-29.472251500000002,153.143192
03/20/2017 07:36:00 PM,,-29.472072600000004,152.3514367
12/10/2013 11:00:00 PM,15.657020000000001,-29.4478,-51.346000000000004
05/27/2016 08:00:00 AM,23.04694,-28.8648,151.8718
02/25/2017 04:52:00 PM,,-28.708321,153.429014
01/09/2011 12:00:00 AM,8.79371,-28.6604,153.27700000000002
01/27/2012 12:00:00 AM,13.624629999999998,-28.5358,153.3923
01/24/2014 06:00:00 PM,0.75793,-28.2167,-65.8667
